player,IP,BF,H,HR,SO,BB,R,ER,K/9,BB/9,K%,BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,LL,PF,WAR
Hyun-Jin Ryu,182.2,734,153,12,210,58,58,54,10.35,2.27,0.286,0.063,0.232,1.09,0.32,0.78,2.66,2.41,0.5,1.025,3.8
Yu Darvish,232,885,156,5,276,36,42,37,10.71,1.4,0.312,0.041,0.19,0.828,0.28,0.817,1.44,1.46,0.75,0.987,4.7
Merrill Kelly,158.1,674,152,18,161,47,78,72,9.15,2.67,0.239,0.07,0.25,1.26,0.309,0.717,4.09,4.4,0.5,0.971,2
Kwang Hyun Kim,190.1,786,198,13,180,38,64,53,8.51,1.8,0.229,0.048,0.27,1.24,0.338,0.792,2.51,2.77,0.5,0.971,0.6
Josh Lindblom,194.2,773,165,13,189,29,57,54,8.74,1.34,0.245,0.038,0.226,1,0.285,0.787,2.5,2.87,0.5,0.938,0.8
Masahiro Tanaka,212,822,168,6,183,32,35,30,7.77,1.36,0.223,0.039,0.218,0.943,0.278,0.863,1.27,2.35,0.75,1.001,2.9
Kenta Maeda,206.3,821,168,5,175,41,49,48,7.63,1.79,0.213,0.05,0.222,1.013,0.282,0.798,2.09,2.38,0.75,0.995,2.9
Shohei Ohtani,140,548,89,4,174,45,33,29,11.19,2.89,0.318,0.082,0.184,0.957,0.277,0.799,1.86,2.28,0.75,0.987,1
Yusei Kikuchi,163.7,654,124,16,153,45,59,56,8.41,2.47,0.234,0.069,0.21,1.033,0.256,0.757,3.08,3.52,0.75,1.045,0.2
Yoshihisa Hirano,57.3,240,57,5,47,16,19,17,7.38,2.51,0.196,0.067,0.266,1.273,0.321,0.821,2.67,3.58,0.75,0.987,0.3
Shun Yamaguchi,170,705,137,8,188,60,60,55,9.95,3.18,0.267,0.085,0.222,1.159,0.306,0.755,2.91,3.07,0.75,1.1023,-0.4
Hisashi Iwakuma,119,471,106,6,90,19,34,32,6.81,1.44,0.191,0.04,0.244,1.05,0.296,0.789,2.42,2.88,0.75,1.001,0.9
Kyuji Fujikawa,47.7,189,34,1,58,15,7,7,10.95,2.83,0.307,0.079,0.207,1.028,0.314,0.885,1.32,1.55,0.75,0.958,0.2
Miles Mikolas,188,745,162,10,187,23,53,47,8.95,1.1,0.251,0.031,0.233,0.984,0.305,0.786,2.25,2.54,0.75,1.023,4.2
